genres,movie_title,original_language,popularity,production_countries,release_date,spoken_languages,vote_average,vote_count,year_released
"[""Drama"",""Horror"",""Thriller""]",Demon,pl,6.196,"[""Israel"",""Poland""]",2015-09-09,"[""Deutsch"",""English"",""Polski"",""""]",6.2,89.0,2015.0
"[""Drama"",""Romance""]",Little Women,en,53.327,"[""United States of America""]",2019-12-25,"[""Français"",""English""]",7.9,4237.0,2019.0
"[""Music"",""Documentary""]",They Will Have to Kill Us First,fr,1.667,"[""United Kingdom""]",2015-10-13,"[""English"",""Bamanankan"",""Français""]",6.3,4.0,2015.0
"[""Documentary""]",After Parkland,en,3.532,"[""United States of America""]",2019-04-26,"[""English""]",6.7,3.0,2019.0
"[""Drama""]",Those Who Remained,hu,2.469,"[""Hungary""]",2019-06-20,"[""Magyar""]",7.6,9.0,2019.0
"[""Drama"",""Music""]",Ma Rainey's Black Bottom,en,15.227,"[""United States of America""]",2020-11-25,"[""English"",""Italiano""]",6.7,788.0,2020.0
"[""Drama""]",Foxtrot,he,12.569,"[""France"",""Germany"",""Israel"",""Switzerland""]",2017-09-02,"[""עִבְרִית""]",6.8,152.0,2017.0
"[""Documentary""]",Mike Wallace Is Here,en,5.092,"[""United States of America""]",2019-07-26,"[""English""]",6.3,11.0,2019.0
"[""Documentary""]",They'll Love Me When I'm Dead,en,6.582,"[""United States of America""]",2018-08-31,"[""Hrvatski"",""English"",""Français""]",7.3,99.0,2018.0
"[""Documentary""]",Citizen Jane: Battle for the City,en,3.579,"[""United States of America""]",2017-04-21,"[""English""]",7.4,13.0,2016.0
"[""Drama"",""War"",""Romance""]",Transit,de,9.043,"[""France"",""Germany""]",2018-04-25,"[""Français"",""Deutsch""]",6.5,142.0,2018.0
"[""Drama""]",Wild,de,2.402,"[""Germany""]",2016-04-14,"[""Deutsch""]",6.3,48.0,2016.0
"[""Drama""]",Princess of the Row,en,2.552,"[""United States of America""]",2020-11-27,"[""English""]",6.5,4.0,2019.0
"[""Documentary""]",Ex Libris: The New York Public Library,en,4.333,"[""United States of America""]",2017-09-13,"[""English""]",6.3,48.0,2017.0
"[""Drama"",""History""]",Zama,es,7.618,"[""Argentina"",""Brazil"",""Spain"",""United States of America"",""France"",""Lebanon"",""Mexico"",""Netherlands"",""Portugal"",""Dominican Republic"",""Switzerland""]",2017-09-28,"[""Español"","""",""Português""]",6.8,110.0,2017.0
"[""Documentary"",""Music""]",Billie,en,3.213,"[""United Kingdom""]",2020-09-30,"[""English""]",7.0,13.0,2019.0
"[""Comedy""]",Tales of an Immoral Couple,es,4.518,"[""Mexico""]",2016-10-14,"[""Español""]",5.0,49.0,2016.0
