title,audienceScore,tomatoMeter,releaseDateTheaters,genre,originalLanguage
Assassins,82.0,98.0,2020-12-11,"Documentary, Biography",Vietnamese
The Departure,100.0,100.0,2017-10-13,Documentary,Japanese
Blue Jay,78.0,91.0,2016-10-07,Drama,English
Nothing Like a Dame,77.0,98.0,2018-09-21,Documentary,English (United Kingdom)
Shang-Chi and the Legend of the Ten Rings,98.0,91.0,2021-09-03,"Action, Adventure, Fantasy",English
Aladdin,94.0,57.0,2019-05-24,"Kids & family, Musical, Comedy, Fantasy, Adventure, Romance",English
A River Below,83.0,100.0,2017-11-03,Documentary,English
Only the Animals,74.0,93.0,2021-10-29,"Mystery & thriller, Lgbtq+",French (France)
Hit the Road,78.0,95.0,2022-04-22,"Comedy, Drama",Persian
Rebels on Pointe,100.0,100.0,2017-11-15,"Documentary, Lgbtq+",English
Everybody's Everything,99.0,100.0,2019-11-15,"Documentary, Music",English
Becoming Astrid,80.0,97.0,2018-11-23,"Biography, History, Drama",Swedish
Dolemite Is My Name,91.0,97.0,2019-10-04,"Biography, Comedy, Drama",English
Dead Pigs,51.0,97.0,2021-06-28,"Comedy, Drama",Chinese
Paterson,72.0,96.0,2016-12-28,Drama,English
Meru,91.0,88.0,2015-08-14,Documentary,English
Monkey Kingdom,76.0,93.0,2015-04-17,Documentary,English
Pacifiction,100.0,86.0,2023-02-17,"Drama, Mystery & thriller",French (France)
Terra Willy,87.0,100.0,2020-10-23,"Kids & family, Comedy, Adventure, Sci-fi, Animation",French (France)
Belfast,92.0,86.0,2021-11-12,Drama,English
The Second Time Around,92.0,82.0,2018-12-14,Romance,English
The Rider,82.0,97.0,2018-04-13,"Drama, Western",English
Stray,70.0,96.0,2021-03-05,Documentary,Chinese
Close,85.0,91.0,2022-12-02,Drama,French (France)
Waterman,98.0,100.0,2022-04-01,"Documentary, Biography",English
Dear Comrades!,79.0,93.0,2021-01-29,"History, Drama",Russian
Final Account,91.0,93.0,2021-05-21,Documentary,German
Becoming Cousteau,85.0,98.0,2021-10-22,"Documentary, Biography",English
The Island,80.0,100.0,2018-08-10,"Comedy, Adventure",Chinese
Among Wolves,92.0,100.0,2018-11-04,Documentary,Croatian
The Tutor,92.0,7.0,2023-03-24,Mystery & thriller,English
The Bleeding Edge,83.0,100.0,2018-07-27,Documentary,English (Australia)
"Hale County This Morning, This Evening",39.0,97.0,2018-09-14,Documentary,English
Finding You,91.0,53.0,2021-05-14,"Romance, Comedy",English
Echo Boomers,94.0,35.0,2020-11-13,"Mystery & thriller, Crime, Drama",English
