nomination_id,movie_id,year_film,year_ceremony,ceremony,canon_category,name,winner
287,61,2016,2017,89,SOUND MIXING,Andy Nelson/Ai-Ling Lee/Steve A. Morrow,False
288,626,2016,2017,89,SOUND MIXING,Kevin O'Connell/Andy Wright/Robert Mackenzie/Peter Grace,True
289,1418,2016,2017,89,SOUND MIXING,Bernard Gariépy Strobl/Claude La Haye,False
290,61,2016,2017,89,SOUND EDITING,Ai-Ling Lee/Mildred Iatrou Morgan,False
291,626,2016,2017,89,SOUND EDITING,Robert Mackenzie/Andy Wright,False
292,774,2016,2017,89,ACTOR IN A SUPPORTING ROLE,Lucas Hedges,False
293,61,2016,2017,89,ART DIRECTION,David Wasco/Sandy Reynolds-Wasco,True
294,1418,2016,2017,89,ART DIRECTION,Patrice Vermette/Paul Hotte,False
295,662,2016,2017,89,BEST PICTURE,Adele Romanski/Dede Gardner/Jeremy Kleiner,True
296,774,2016,2017,89,BEST PICTURE,Matt Damon/Kimberly Steward/Chris Moore/Lauren Beck/Kevin J. Walsh,False
297,448,2016,2017,89,BEST PICTURE,Emile Sherman/Iain Canning/Angie Fielder,False
298,61,2016,2017,89,BEST PICTURE,Fred Berger/Jordan Horowitz/Marc Platt,False
299,1540,2016,2017,89,BEST PICTURE,Carla Hacken/Julie Yorn,False
300,626,2016,2017,89,BEST PICTURE,Bill Mechanic/David Permut,False
301,1218,2016,2017,89,BEST PICTURE,Scott Rudin/Denzel Washington/Todd Black,False
302,1418,2016,2017,89,BEST PICTURE,Shawn Levy/Dan Levine/Aaron Ryder/David Linde,False
303,1595,2016,2017,89,MUSIC (Original Song),Lin-Manuel Miranda,False
304,61,2016,2017,89,MUSIC (Original Song),Justin Hurwitz/Benj Pasek/Justin Paul,True
305,61,2016,2017,89,MUSIC (Original Song),Justin Hurwitz/Benj Pasek/Justin Paul,False
306,662,2016,2017,89,MUSIC (Original Score),Nicholas Britell,False
307,146,2015,2016,88,DIRECTING,Tom McCarthy,False
308,691,2015,2016,88,BEST PICTURE,Finola Dwyer/Amanda Posey,False
309,640,2015,2016,88,BEST PICTURE,Steven Spielberg/Marc Platt/Kristie Macosko Krieger,False
310,1121,2015,2016,88,MUSIC (Original Song),Diane Warren/Lady Gaga,False
311,1434,2015,2016,88,MUSIC (Original Score),John Williams,False
312,1046,2015,2016,88,MUSIC (Original Score),Jóhann Jóhannsson,False
313,640,2015,2016,88,MUSIC (Original Score),Thomas Newman,False
