movie_id,audienceScore,tomatoMeter,popularity,vote_average,vote_count
843,83.0,95.0,32.954,7.2,124.0
844,85.0,96.0,7.444,7.4,206.0
846,93.0,75.0,10.508,7.2,25.0
847,89.0,93.0,11.831,7.5,76.0
849,78.0,96.0,12.597,7.0,73.0
851,84.0,95.0,2.458,7.4,18.0
852,67.0,95.0,2.555,7.1,38.0
854,85.0,99.0,5.646,6.8,26.0
855,71.0,100.0,4.461,7.2,66.0
856,96.0,57.0,12.826,7.2,56.0
857,98.0,72.0,100.172,0.0,0.0
858,80.0,94.0,9.6,6.8,208.0
861,80.0,91.0,2.45,5.4,8.0
862,80.0,94.0,2.368,10.0,1.0
864,58.0,92.0,4.032,5.9,30.0
865,100.0,94.0,1.943,7.8,20.0
867,75.0,91.0,2.883,6.4,29.0
868,79.0,94.0,14.642,7.0,1330.0
869,71.0,100.0,3.462,6.1,27.0
870,81.0,96.0,11.867,6.7,36.0
871,43.0,100.0,5.332,5.6,142.0
872,73.0,92.0,5.563,6.4,116.0
876,68.0,94.0,2.956,6.6,12.0
877,79.0,99.0,8.282,7.6,91.0
882,65.0,92.0,5.761,7.1,93.0
883,60.0,100.0,4.184,6.9,22.0
888,86.0,100.0,0.662,0.0,0.0
889,46.0,92.0,6.423,5.9,61.0
891,93.0,100.0,4.079,7.3,32.0
892,95.0,11.0,36.147,8.8,6.0
893,59.0,100.0,23.012,6.3,31.0
896,77.0,95.0,6.415,6.9,144.0
897,60.0,96.0,16.413,6.1,417.0
898,70.0,93.0,7.036,6.9,91.0
899,97.0,100.0,2.781,6.9,7.0
900,83.0,95.0,11.807,7.4,563.0
901,80.0,95.0,13.75,7.4,1037.0
902,81.0,95.0,12.031,7.2,329.0
903,85.0,97.0,3.241,6.8,14.0
904,100.0,67.0,3.115,8.0,4.0
905,86.0,92.0,26.475,7.6,10829.0
906,80.0,100.0,0.6,7.4,5.0
910,86.0,91.0,5.965,6.7,20.0
911,80.0,91.0,1.428,8.0,1.0
912,76.0,93.0,3.428,8.2,6.0
914,73.0,96.0,12.144,7.2,400.0
915,91.0,100.0,3.539,7.8,25.0
916,100.0,100.0,2.586,0.0,0.0
917,90.0,95.0,9.359,7.3,58.0
918,74.0,92.0,10.37,7.1,191.0
919,96.0,95.0,28.844,8.3,2617.0
920,41.0,96.0,6.437,4.0,2.0
921,76.0,94.0,2.532,6.9,37.0
923,88.0,91.0,2.605,7.3,12.0
924,89.0,100.0,3.843,7.7,18.0
925,88.0,97.0,12.783,7.8,1117.0
927,87.0,97.0,17.423,7.5,1014.0
928,66.0,91.0,4.999,6.7,120.0
930,71.0,95.0,1.668,0.0,0.0
933,88.0,92.0,35.982,8.1,5156.0
934,69.0,93.0,3.543,7.1,41.0
936,42.0,91.0,53.115,6.9,12394.0
937,97.0,88.0,5.452,7.1,36.0
938,60.0,95.0,2.925,6.8,5.0
939,88.0,95.0,15.169,7.9,560.0
942,90.0,100.0,3.842,7.8,39.0
945,74.0,91.0,2.672,7.0,9.0
947,84.0,97.0,23.144,6.7,354.0
949,52.0,91.0,23.575,7.1,3290.0
950,78.0,100.0,2.774,5.5,3.0
951,99.0,60.0,2.815,7.0,4.0
952,60.0,93.0,2.972,7.1,15.0
954,73.0,91.0,12.518,6.6,1444.0
955,100.0,94.0,6.927,7.8,44.0
956,84.0,94.0,7.403,7.4,174.0
957,98.0,96.0,7.586,7.2,19.0
960,61.0,95.0,12.62,6.2,314.0
961,98.0,99.0,24.212,8.5,610.0
963,89.0,100.0,0.6,6.0,1.0
966,58.0,91.0,2.169,0.0,0.0
